Agency,Geographic Unit,Geographic Identifier,Indicator,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019
NYPD,Precinct,113,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,112,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,111,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,110,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,109,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,108,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,107,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,106,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,105,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,104,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,103,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,102,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,101,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,100,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,94,Hate Crime Related Murder,0,0,1,0,0,0,0,0,NA
NYPD,Precinct,90,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,88,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,84,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,83,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,81,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,79,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,78,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,77,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,76,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,75,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,73,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,72,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,71,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,70,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,69,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,68,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,67,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,66,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,63,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,62,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,61,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,60,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,52,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,50,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,49,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,48,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,47,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,46,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,45,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,44,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,43,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,42,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,41,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,40,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,34,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,33,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,32,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,30,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,28,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,26,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,25,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,24,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,23,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,22,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,20,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,19,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,18,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,17,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,14,Hate Crime Related Murder,0,0,0,0,0,0,1,0,NA
NYPD,Precinct,13,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,10,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,9,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,7,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,6,Hate Crime Related Murder,0,0,1,0,0,0,0,0,NA
NYPD,Precinct,5,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,1,Hate Crime Related Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,123,Hate Crime Related Felonious Assault,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,122,Hate Crime Related Felonious Assault,0,2,2,0,1,0,0,0,NA
NYPD,Precinct,121,Hate Crime Related Felonious Assault,NA,NA,NA,0,0,1,0,0,NA
NYPD,Precinct,120,Hate Crime Related Felonious Assault,10,2,2,0,0,1,0,0,NA
NYPD,Precinct,115,Hate Crime Related Felonious Assault,2,1,1,0,0,0,3,1,NA
NYPD,Precinct,114,Hate Crime Related Felonious Assault,2,1,1,1,0,0,2,0,NA
NYPD,Precinct,113,Hate Crime Related Felonious Assault,1,1,0,0,0,0,0,0,NA
NYPD,Precinct,112,Hate Crime Related Felonious Assault,0,0,0,0,1,0,0,0,NA
NYPD,Precinct,111,Hate Crime Related Felonious Assault,1,0,0,0,0,0,0,0,NA
NYPD,Precinct,110,Hate Crime Related Felonious Assault,1,0,1,0,0,1,0,1,NA
NYPD,Precinct,109,Hate Crime Related Felonious Assault,1,0,1,0,0,0,0,0,NA
NYPD,Precinct,108,Hate Crime Related Felonious Assault,0,0,3,0,0,0,1,0,NA
NYPD,Precinct,107,Hate Crime Related Felonious Assault,0,0,2,0,0,2,1,0,NA
NYPD,Precinct,106,Hate Crime Related Felonious Assault,1,0,3,0,0,2,0,0,NA
NYPD,Precinct,105,Hate Crime Related Felonious Assault,0,0,1,0,0,0,0,0,NA
NYPD,Precinct,104,Hate Crime Related Felonious Assault,0,1,1,0,1,0,1,0,NA
NYPD,Precinct,103,Hate Crime Related Felonious Assault,0,0,1,0,0,1,0,0,NA
NYPD,Precinct,102,Hate Crime Related Felonious Assault,1,0,0,0,1,0,0,0,NA
NYPD,Precinct,101,Hate Crime Related Felonious Assault,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,100,Hate Crime Related Felonious Assault,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,94,Hate Crime Related Felonious Assault,0,1,0,0,0,1,0,0,NA
NYPD,Precinct,90,Hate Crime Related Felonious Assault,2,3,2,0,3,0,1,1,NA
NYPD,Precinct,88,Hate Crime Related Felonious Assault,0,0,0,0,0,0,1,0,NA
NYPD,Precinct,84,Hate Crime Related Felonious Assault,1,1,0,0,0,1,0,1,NA
NYPD,Precinct,83,Hate Crime Related Felonious Assault,2,1,0,0,3,2,0,0,NA
NYPD,Precinct,81,Hate Crime Related Felonious Assault,0,0,0,0,1,0,0,1,NA
NYPD,Precinct,79,Hate Crime Related Felonious Assault,1,0,1,0,0,0,3,3,NA
NYPD,Precinct,78,Hate Crime Related Felonious Assault,0,1,1,0,0,1,0,0,NA
NYPD,Precinct,77,Hate Crime Related Felonious Assault,2,2,1,0,0,0,0,0,NA
NYPD,Precinct,76,Hate Crime Related Felonious Assault,0,0,0,1,0,0,0,0,NA
NYPD,Precinct,75,Hate Crime Related Felonious Assault,3,0,0,0,1,1,3,1,NA
NYPD,Precinct,73,Hate Crime Related Felonious Assault,0,0,1,0,0,1,0,0,NA
NYPD,Precinct,72,Hate Crime Related Felonious Assault,4,0,0,0,0,0,0,0,NA
NYPD,Precinct,71,Hate Crime Related Felonious Assault,4,5,4,0,3,4,1,3,NA
NYPD,Precinct,70,Hate Crime Related Felonious Assault,2,0,0,0,0,1,0,0,NA
NYPD,Precinct,69,Hate Crime Related Felonious Assault,0,1,0,1,0,0,0,0,NA
NYPD,Precinct,68,Hate Crime Related Felonious Assault,0,1,2,0,0,1,0,0,NA
NYPD,Precinct,67,Hate Crime Related Felonious Assault,2,1,1,0,0,0,1,1,NA
NYPD,Precinct,66,Hate Crime Related Felonious Assault,0,0,1,0,0,0,0,0,NA
NYPD,Precinct,63,Hate Crime Related Felonious Assault,0,1,0,0,0,0,0,0,NA
NYPD,Precinct,62,Hate Crime Related Felonious Assault,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,61,Hate Crime Related Felonious Assault,0,2,0,0,0,0,0,0,NA
NYPD,Precinct,60,Hate Crime Related Felonious Assault,0,1,0,2,1,0,1,0,NA
NYPD,Precinct,52,Hate Crime Related Felonious Assault,0,0,0,0,1,0,1,2,NA
NYPD,Precinct,50,Hate Crime Related Felonious Assault,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,49,Hate Crime Related Felonious Assault,1,0,1,0,0,0,0,0,NA
NYPD,Precinct,48,Hate Crime Related Felonious Assault,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,47,Hate Crime Related Felonious Assault,0,0,0,0,0,0,1,0,NA
NYPD,Precinct,46,Hate Crime Related Felonious Assault,1,0,1,0,0,0,0,0,NA
NYPD,Precinct,45,Hate Crime Related Felonious Assault,1,0,0,0,1,0,0,0,NA
